"","library_name","type_of_elimination","source","ulc_member","reason_for_stopping_fines","lat","long","policy_notes","official_policy_link","state","fine_free_date","fine_free_date_notes","amnesty","amnesty_notes","literature","ffl_timestamp","library_url"
"211","Ilion Free Public Library","No Fines","https://www.timestelegram.com/news/20170327/ilion-library-to-eliminate-late-fees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 16:28:38","https://www.midyorklib.org/ilion/"
"212","ImagineIF Library","Everyone","http://imagineiflibraries.org/about-us/fine-free/","FALSE","Most people do the right thing and return their materials on time. Because we believe that materials will be returned more promptly when our customers aren’t worried about being fined. Because you shouldn’t have to wait in line to pay a 10 cent fine. Because we want to spend quality time with you instead of taking your pennies.",48.373147,-114.18365,"Customers will receive notification about overdue items and will be billed replacement costs for lost or damaged items. Items are considered lost after they are three weeks overdue. Borrowing privileges will be blocked until materials are returned or the library is compensated for lost materials.

Interlibrary loan items will continue to accrue an overdue fee of $1 per day.

Failure to return library items or pay for their replacement will result in having your account turned over to a materials recovery agency.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Iowa City Public Library","Children and Young Adults","https://www.icpl.org/articles/icpl%E2%80%99s-children%E2%80%99s-young-adult-materials-be-fine-free","FALSE","“Creating financial barriers to public library use is counterproductive and goes against the Library’s mission to encourage more use, not less,” Director Elsworth Carman said. “We want to remove barriers that stop people from using the Library, and we’re pleased to have the support of the City of Iowa City council members and our Library Board of Trustees to do so.”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Ipswich Public Library","No Fines","http://thelocalne.ws/2016/12/30/library-fees-abolished-budget-takes-0-003-percent-hit/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/16/2019 12:56:44","www.ipswichlibrary.org"
"215","Irvin L Young Memorial Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 20:26:46","WhitewaterLibrary.org"
"216","Jackson City Library","No Fines","https://www.jacksoncitylibrary.org/content/jackson-city-library-fine-free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 11:52:03","www.jacksoncitylibrary.org"
"217","Jackson County Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 14:07:33","jacksoncolibrary.net"
"218","Jackson County Library Services","Everyone","https://mailtribune.com/news/happening-now/jackson-county-libraries-say-goodbye-to-late-fees","FALSE","""One of the promises we made to the community was to remove barriers to access,"" said Susan Bloom, assistant library director for administrative services. ""We wanted to look at immediate ways to make sure all of the community can access the library and materials.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Jasper-Dubois County Public Library ","No Fines","https://duboiscountyherald.com/b/library-board-joins-trend-eliminating-fines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:50:32","www.jdcpl.us"
"220","Jeff Davis County Library","Everyone","http://www.co.davis.ut.us/docs/default-source/default-document-library/fine-free-flyer-(1).pdf?sfvrsn=fe5c53_2","FALSE",NA,30.588493,-103.893763,"This new policy applies only to overdue fines. Fee’s for damages lost materials, interlibrary loans, lost library cards and other miscellaneous library fees are not included",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Jefferson County Library","Everyone","http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/","FALSE","“Going fine-free removes a barrier to access for many, including those who struggle with transportation to return items or children with late fees on their accounts who are prevented from borrowing materials they need for school,” said Jefferson County Library Director Tamara Meredith",48.032716,-122.772509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
