"","library_name","type_of_elimination","source","ulc_member","reason_for_stopping_fines","lat","long","policy_notes","official_policy_link","state","fine_free_date","fine_free_date_notes","amnesty","amnesty_notes","literature","ffl_timestamp","library_url"
"283","Marin County Free Library","Everyone","https://marinlibrary.org/finefree/","TRUE","""To make all our services more equitable and be as inclusive as possible.""",NA,NA,"""Items owned by other MARINet libraries such as San Rafael, Larkspur, San Anselmo, Sausalito, Belvedere-Tiburon, and Mill Valley, may still be subject to late fees.""",NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Marjorie Younce Snook Public Library, Summerdale, AL","No Fines","No, happened years ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 16:06:09","http://www.summerdalelibrary.com/"
"285","Marysville Public Library","No Fines","We have been fine-free (aside from damaged/lost items) for many years--I would say 15 at least.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 16:06:17","marysville.lib.nckls.org"
"286","Mason County District Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/14/2019 17:09:23","http://www.masoncounty.lib.mi.us/"
"287","Matawan Aberdeen Public Libraries","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/1/2019 9:37:51","www.matawanaberdeenlibrary.com"
"288","Matheson Memorial Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 23:17:19","www.elkhorn.lib.wi.us"
"289","Medicine Spring Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 16:58:04","www.bfcc.edu/medicine-spring-library"
"290","Meigs County District Public Library","No Fines","https://www.mydailysentinel.com/news/38264/library-goes-fine-free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/7/2019 16:38:59","www.meigslibrary.org"
"291","Memorial Hall Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/30/2019 13:12:43","mhl.org"
"292","Meridian Library District","Children and Teens Only","https://www.mld.org/service-charges-fines","FALSE",NA,43.620083,-116.409105,"Overdue fines will not be assessed on items from Meridian Library District's children and teen collections. Charges will be applied for lost or damaged materials from all collections.  Food for Fines: Nonperishable food items are accepted for overdue fines of $5.00 or less on each overdue item and donated to the Meridian Food Bank.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Miami-Dade Public Library System","Everyone","https://www.mdpls.org/fines-fees/fines-fees.asp","TRUE","Wanted to decrease negative customer interactions, increase access to the library, decrease administrative time spent collecting and reconciling small amounts of money, and providing a means for patrons to have a fresh start with the library.",25.774595,-80.196846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Middleton Public Library","No Fines","https://www.midlibrary.org/LibraryCards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 17:04:22","https://www.midlibrary.org/"
"295","Midland College LRC/LIbrary","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/25/2019 15:15:15","www.midland.edu/library"
"296","Milford Public Library","Everyone","http://www.milfordlibrary.info/images/about/Newsletter/MilfordLibraryNewsletter_Nov18_ForWeb.pdf","FALSE",NA,NA,NA,"One year trial period",NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Milford Public Library (MI)","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 9:30:46","www.milfordlibrary.info"
"298","Mississippi Library Commission","No Fines","No, we’ve been fine free since we opened to the public in 2007.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/27/2019 10:14:46","https://mlc.lib.ms.us"
"299","Mississippi Valley Library District","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.facebook.com/CollinsvilleMemorialLibraryCenter/photos/a.10150816493930640/10161831318275640/?type=3&theater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 16:10:22","www.mvld.org"
"300","Modeste Bedient Memorial Libray","No Fines","No, we have been fine free for more than 10 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 8:57:12","branchportlibrary.org"
"301","Monona Public Library","No Fines","http://mymonona.com/608/Fine-Free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/24/2019 17:03:57","http://mymonona.com/131/Library"
"302","Monroe County Library System","No Fines","https://www.monroenews.com/news/20190109/monroe-county-library-system-eliminates-late-return-fines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/23/2019 12:00:11","monroe.lib.mi.us"
"303","Montclair Public Library","Everyone","http://www.montclairlibrary.org/wp-content/uploads/2019/05/Fine-Free-FAQ.pdf","FALSE","Fines disproportionately affect children and people who are disadvantaged socioeconomically.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Montour Falls Library","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/30/2019 4:37:06","montourfallslibrary.org"
"305","Montour Falls Memorial Library","No Fines","No, links but it has been mentioned in our previous newsletters and on website in the past. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 12:18:14","montourfallslibrary.org"
"306","Morgan County Public Library","No Fines","https://morgancountylibrary.info/fine-free-frequently-asked-questions/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 15:52:52","http://morgancountylibrary.info"
"307","Morgan County Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 8:07:16","http://morgancountylibrary.info/"
"308","Morgan County Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://morgancountylibrary.info/wp-content/uploads/circulation.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/31/2019 13:55:40","http://morgancountylibrary.info/"
"309","Multnomah County Library","Children Only","https://multcolib.org/blog/20160607/opening-new-doors-library-no-more-youth-fines","TRUE","For many, late fines are a real barrier that stops children and families from using and benefiting from the resources the public library offers. With the support of the Multnomah County Library District Board, our library is changing this practice.",45.520956,-122.619487,"No late fines for youth of young adult materials",NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Muskego Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/13/2019 15:39:52","https://www.cityofmuskego.org/166/Library"
"311","Nampa Public Library","In the Process of Removing Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 20:12:56","nampalibrary.org"
"312","Nashville Public Library","Everyone","https://lj.libraryjournal.com/2017/07/funding/nashville-salt-lake-city-columbus-eliminate-fines/","TRUE","According to Emily Waltenbaugh, public information officer with NPL, library staff were concerned about the number of accounts that had been blocked because of fines exceeding a $20 limit. They discovered that as many as 50,000 cards were blocked at any given time, out of a total of 300,000 cardholders. This is a “huge percentage,” she said, and the library was eager to “bring patrons back to the library.” Waltenbaugh said. “We just want the items back, we don’t want to profit off patrons.” According to NPL Director Kent Oliver, “Accessibility for all in our community is a core value for Nashville Public Library; it’s at the center of how we view our library. That’s why it makes sense to do away with late fines.”",36.162306,-86.781807,"Lost or damaged fees will apply",NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","New Brunswick Public Library Service","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www2.gnb.ca/content/dam/gnb/Departments/nbpl-sbpnb/pdf/politiques-policies/1055_LibraryFinesFees.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/2/2019 9:42:43","https://www2.gnb.ca/content/gnb/en/departments/nbpl.html"
"314","New London Public Library","Everyone","https://newlondonpubliclibrary.org/fine-free-library","FALSE","Library Director Anne Lowery researched library policies and spoke to library professionals all over the country. “I talked to library people who actually work with local police to arrest people who keep books out too long. I’ve talked to libraries that don’t do fines and don’t have a problem losing material because of a lack of incentive to bring things back on time.  Fines have never been about revenue. Fines punish loyal patrons who just can’t get a book finished in time or elderly patrons who don’t want to venture out in bad weather just to return a book. Those irresponsible people who don’t care about the fine and aren’t going to return material regardless will always be part of the equation. We could fine them ten cents or $10 a day and turn them over the collections, they don’t care.” After much deliberation, she approached the Library Board of Trustees with the idea to eliminate fines. Once she explained her reasons and the results of her research, the Board agreed to change the policy. Staff, said Lowery, was more skeptical. “I asked staff if they really felt good about telling a kid that they weren’t allowed to check out a book because they owed a fine. I asked them if they enjoyed arguing with people over ten cents when those people were not going to follow the rules no matter what. Is that worth it?” Lowery said the biggest concern her staff expressed is that there would be no incentive for irresponsible patrons to bring things back on time without the fines. “I asked them if they really thought that $1 a day fine mattered to the people who weren’t intending to pay it in the first place. We’ve always had those people and will continue to see them come and go; with or without fines. I’d rather focus on the 99% of responsible patrons.”",41.084113,-82.398545,"If you have overdue items, you will not be able to check out more material until those items are renewed or returned. If thirty days goes by and you don’t return or renew the material and you ignore the notices we give, we will assume you lost the items and you will get a bill from us.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","New Orleans Public Library","Children and Teenagers","https://www.nola.com/news/article_d502f74c-cb64-11e9-b50c-93ef40a1ec88.html?utm_medium=social&utm_source=email&utm_campaign=user-share","TRUE","To remove a barrier to library access, as unpaid fines can lead to the suspension of library borrowing privileges.",NA,NA,"No fines will be applied to books, DVDs and other materials in a policy change that began Sunday. The library will also forgive fines for materials checked out before Sunday if children submit a book report to the library staff.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","New Salem Public Library","No Fines","No there is not.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/29/2019 12:56:54","newsalempubliclibrary.org"
"317","Newark Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/2/2019 15:40:35","www.npl.org"
"318","Newark Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/20/2019 12:18:07","www.npl.org"
"319","Newark Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://newarklibrary.org/2019/03/27/national-library-week-brings-exciting-news/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/25/2019 12:44:19","newarklibrary.org"
"320","Newburgh Free Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://www.newburghlibrary.org/about-us/borrowing-policies/#FinesFees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 16:23:12","http://www.newburghlibrary.org/"
"321","Newburgh Free Library - Town Branch","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://www.newburghlibrary.org/about-us/borrowing-policies/#FinesFees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 16:24:24","http://www.newburghlibrary.org"
"322","Newbury Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 9:55:16","newburynhlibrary.net"
"323","Newburyport Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/23/2019 12:39:32","www.newburyportpl.org"
"324","Newfield Public Library","Everyone","http://www.newfieldpubliclibrary.org/NPL%20Fine%20Free%20FAQ.pdf","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Newport Public Library","No Fines","No. It has been this way for many years. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 16:00:23","www.newportlibrary.org"
"326","Noble County Public Library","No Fines","https://www.myncpl.us/uploads/3/1/4/9/31492395/fine_free.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 8:10:26","https://www.myncpl.us/"
"327","North Baltimore library","Everyone","https://www.sent-trib.com/news/no-more-fines-at-north-baltimore-library/article_8c4df630-0aeb-11e9-ad96-efe37f84e1cb.html","FALSE",NA,41.183936,-83.677954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","North Bonneville Community Library","No Fines","https://www.fvrl.org/library-privileges-policy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/1/2019 17:10:55","https://www.fvrl.org/loc/nb"
"329","North Central Regional Libraries","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 3:08:42","NCRL.org"
"330","North Kansas City Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 21:50:02","nkcpl.org"
"331","North Scituate Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No, we have had no fines on books for years. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 11:24:39","Scituatelibrary.org"
"332","Northern Onondaga Public Library ","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 19:38:56","www.nopl.org"
"333","Northville Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 11:19:43","http://northvillepubliclibrary.weebly.com/"
"334","Oak Park Public Library","Everyone","https://oppl.org/news-events/announcements/on-june-1-we-go-fine-free/","TRUE","Policies should define how the library wants to interact with the community, said Executive Director David J. Seleb. “And this policy change is focused on access and equity. Overdue fines are a regressive method of raising revenue, they hurt the most those who can afford them the least, create stress-filled interactions, and require significant amounts of staff time to manage.”",41.889216,-87.796409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Oakville Public library","In the Process of Removing Fines","Soon ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 20:28:46","www.opl.ca"
"336","Odon Winkelpleck Public Library","No Fines","I've only seen it mentioned on their Facebook page (12/6/18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 8:20:57","http://owpl.blogspot.com/"
"337","Orange Beach Public Library","Everyone","https://lj.libraryjournal.com/2017/04/budgets-funding/doing-fines-fines-fees/#_","FALSE","Many library administrators feel that fines are a barrier to access (especially for low-income families), cost the library significant staff time, are antithetical to our mission and principles, set up an adversarial relationship, or prevent implementation of services such as autorenewal."" said Library Director Steven A Gillis",30.293224,-87.577132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Orford Social Library","No Fines","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 14:10:49","oslibrary.org"
"339","Oxford County Library","No Fines","https://www.ocl.net/Old-Home/Library-Board October 2018 Agenda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/11/2019 14:05:57","https://www.ocl.net/"
"340","Palo Alto City Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.cityofpaloalto.org/civicax/filebank/documents/8684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 15:01:55","library.cityofpaloalto.org"
"341","Park City Library","Everyone","https://parkcitylibrary.org/fine-free/","FALSE","When other Utah libraries implemented this vision, they found many benefits: increased number of library users, people returning materials in a more timely fashion, books checked out more frequently, friendly reminders helping to get books returned and no significant loss in funding.",40.650721,-111.503118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Patchogue-Medford Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 20:27:06","Pmlib.org"
"343","Peabody Memorial Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 16:52:13","www.peabody.lib.me.us"
"344","Pelham Free Public Library","No Fines","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 9:15:18","www.pelham-library.net"
"345","Pemberton & District Public Library","Everyone","https://pemberton.bc.libraries.coop/using-the-library/policies/loan-periods-late-fines/","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Peninsula Library System","Children and Teens Only","http://www.plsinfo.org/Fines-Fees","FALSE","""Peninsula libraries offer an incredible array of collections, services, and events designed to help children and teens experience the joy of reading, build a love of learning, and succeed in school. Owing fines is a barrier to accessing these wonderful library activities, especially for families with limited financial resources,"" said Derek Wolfgram, Peninsula Library System Administrative Council Chair and Redwood City Public Library Director. ""We want to make sure every child and teenager in San Mateo County has every opportunity to benefit from their local libraries,"" An examination of Peninsula Library System user data revealed that 13,530 juvenile library cardholders, or 11% of all juvenile cardholders, were unable to use library services due to the amount of money owed on their library accounts. While juvenile patrons make up 25% of the total cardholders in PLS, they represent 32% of all patrons with a financial block.",37.5694,-122.327445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Pierson Library","No Fines","http://www.piersonlibrary.org/library-cards-2/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 14:01:38","http://www.piersonlibrary.org"
"348","Pikes Peak Library District","Everyone","https://www.kktv.com/content/news/Pikes-Peak-Library-District-eliminating-overdue-fines-504870661.html","FALSE","""Our mission as an organization is to eliminate barriers to information and resources, not create them,"" said Director of Library Services, Tim Blevins in a press release.",38.954008,-104.793259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Pines and Plains Libraries","No Fines","pplibraries.org/about",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/23/2019 0:47:28","pplibraries.org"
"350","Pinetop-Lakeside Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.facebook.com/pinetoplakesidelibrary/posts/2470155769682404?__xts__[0]=68.ARB4MObjtbd0RJuoEo3e8FXWVnc5FtgBuHdmFbtTjyARCpeS63UGIbW0hvGU6KGROBL03DNoAVkQWDQdIzkller0ggro-YPYCGO5yGPMNbqBH6KWprMRwthHtDmOAmx-7GwT9W4GyrCNoGOgiPMsUKAX-1h89v7-8lxDtiec_tPUl3HuC1lgST-0FVh6G1Atcvs9ErSNulYR1fhOKmXdCcbsyAO5EYhXnP8ILMxmTLd1n8Tx8cDMmRPboJckPq07NgGKyzZwNUReq1CkIG3ueTNfm-4dLuxiB7r8BGFgJvr9NdNry4Py52HtMW_mgNcBCEKz1bhnyASMdHZaFgxtzw&__tn__=-R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 14:23:26","www.pinetoplakesidelibrary.org"
"351","Pinson Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 14:35:25","http://www.pinsonlibrary.com/"
"352","Pioneer Library System","Children and Teens","https://www.urbanlibraries.org/files/Pioneer_FineFree_PR-1.pdf","TRUE","“We recognize that eliminating fines on youth materials will have a small impact on system revenue,” said PLS Executive Director Lisa Wells. “But the feeling is that the amount is manageable given the outstanding benefits we see in reopening access to our younger customers. “Ultimately revenue from these fines adds up to less than a quarter of one percent of our operating budget,” Wells added, “and our conclusion is that the roadblock is greater than the revenue for this group of most impressionably young minds.”",NA,NA,"Forgave all children and teen fines during National Library Week",NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Pittsburg Public Library","No Fines","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 15:07:29","pplonline.org"
"354","Placentia Library District","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 17:45:15","https://www.placentialibrary.org"
"355","Plano Public Library","Everyone","https://communityimpact.com/dallas-fort-worth/plano/city-county/2018/09/25/plano-public-library-scraps-overdue-fees-but-users-still-on-hook-for-lost-items/","FALSE","“Our library is here to be used, and eliminating overdue fines removes barriers for those who most need our resources,” Director of Plano Public Libraries Libby Holtmann said Tuesday in a statement. “We hope that anyone who has hesitated to return materials due to overdue fines will come back and enjoy the library. ”The library staff was spending far more time managing activities related to patrons’ fines than is received in revenue.”",33.055189,-96.732636,"Library patrons with overdue materials will be blocked from checking out new items.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Plattsburgh Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/20/2019 12:41:38","www.plattslib.org"
"357","Poplar Bluff Municipal Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:44:01","poplarbluff.org"
"358","Port Townshend Public Library","Everyone","http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/","FALSE","“We know nationally, from research about late fines, that [fines] don’t actually get items back on time,” said Melody Eisler, Port Townsend Public Library director.  “[The fines] are punitive and they don’t inspire a lifelong love of reading and libraries.”  Eisler said the fines also are problematic for children. Because they can’t drive to the library, it’s easy for children to inadvertently rack up fines and then not be able to get what they need for school, she said.",48.116712,-122.763587,"If an item has been checked out for four weeks it’s library policy to send the library user a bill for the item. If they return the item, they aren’t charged for it, she said.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Portland Community College Library - (all four campus libraries)","No Fines","No.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 15:05:09","www.pcc.edu/library"
"360","Portland Public Library","Children Only","https://www.portlandlibrary.com/highlight/seed-cards/","TRUE","This program is designed to provide additional resources to young Portlanders to enhance literacy and love of reading, learning and engaging.",43.657848,-70.259265,"Part of the SEED card program",NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Portland State University Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/6/2019 16:38:57","https://library.pdx.edu"
"362","Potsdam Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 16:16:46","https://www.potsdamlibrary.org/"
"363","Providence Community Library","all children's and teen materials","https://www.provlib.org/providence-public-library-goes-fine-free-children-teen-materials/","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Providence Public Library","all children's and teen materials","https://www.provlib.org/providence-public-library-goes-fine-free-children-teen-materials/","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Putney Public Library","No Fines","https://www.reformer.com/stories/putney-library-says-no-more-late-fees,108447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 13:10:41","www.putneylibrary.org"
"366","Racine Public Library","Everyone","https://www.racinelibrary.info/about-the-library/racine-public-library-goes-fine-free/","FALSE","Fine collection does not support our mission to enhance our community’s quality of life by providing information, ideas and creative works.",42.725759,-87.780752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Rangeley Public Library","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 14:26:20","rangeleylibrary.org"
"368","Reading Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 9:20:44","www.readingpl.org"
"369","Redford Township District Library","Everyone","https://www.hometownlife.com/story/news/local/redford/2019/04/01/redford-library-eliminate-fines-materials-returned-late/3331199002/","FALSE","""The savings that we had in energy savings from the LED conversion made up the difference, so we were able to pass that savings on to the patrons,"" Library Director Garrett Hungerford said.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Rensselaerville Library","No Fines","https://www.rensselaervillelibrary.org/uploads/2/6/4/8/26489851/circulation_policy.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 16:48:41","https://www.rensselaervillelibrary.org/"
"371","Rice Lake Public Library ","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 12:44:52","rlpl.org"
"372","Richland Hills Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 16:18:52","http://www.richlandhills.com/government/departments/library"
"373","Richland Library","Everyone","http://www.richlandlibrary.com/borrowing-guidelines","TRUE","Reducing access barriers and promoting equity for all.",34.004153,-81.037427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Rio Rancho Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/11/2019 17:35:35","Riorancholibraries.org"
"375","Rochester Public Library","Children and Teens Only","https://roccitylibrary.org/spotlight/the-rochester-public-library-is-awarded-the-2017-joseph-f-shubert-library-excellence-award/","TRUE","The library adopted the policy to address the endemic problem of poverty in its community and with the goal of increasing access and circulation of library materials among families living in poverty",43.154078,-77.608289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Rock Valley College Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/23/2019 10:56:54","rockvalleycollege.edu/library"
"377","Rogers Free Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/21/2019 10:14:54","https://rogersfreelibrary.org/"
"378","Rolling Hills Library","No Fines","Have been fine free since 1961 when we were established.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/30/2019 18:18:35","rhcl.org"
"379","Romeo District Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 17:46:14","www.rdl.org"
"380","Rose Memorial Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/22/2019 12:44:55","rosememoriallibrary.org"
"381","Rossford Public Library ","No Fines","https://www.sent-trib.com/community/rossford-library-now-fine-free/article_5bd716d8-1826-11e9-ba31-071f280b92f0.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/2/2019 2:28:33","http://www.rossfordlibrary.org/"
"382","Rossland Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 0:18:50","www.rossland.bc.libraries.coop"
"383","Rowley Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 10:08:30","http://www.rowleylibrary.org/"
"384","Ruby M. Sisson Memorial Library","Everyone","https://pagosalibrary.org/borrowing-materials/","FALSE","The biggest reason is that if people are concerned about items being overdue, and having to pay a late fee, then they may not check items.  That means that books (or other items) are kept out of the hands of all ages, including children.",37.266988,-107.017426,"For some people, they feel the need to pay a little if they have items overdue, so we have something we call a ""Conscience Jar.""  If people want to put something in there, fine.  We certainly don't ask it, though.  Interestingly, we found years ago that the overdue revenue was approximately the same as what we get in the conscience jar, and in the meantime, it both creates good feeling towards the library, and encourages people to check things out. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Saginaw Chippewa Tribal Libraries","No Fines","we have been fine free for years! :)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/2019 10:56:43","https://youseemore.com/saginaw"
