library_name,type_of_elimination,source,ulc_member,reason_for_stopping_fines,lat,long,policy_notes,official_policy_link,state,fine_free_date,fine_free_date_notes,amnesty,amnesty_notes,literature,ffl_timestamp,library_url
Boise Public Library,In the Process of Removing Fines,https://www.idahostatesman.com/news/local/community/boise/article228986714.html,NA,NA,NA,NA,NA,https://www.boisepubliclibrary.org/library-cards/using-your-card/,ID,2019-10-01,NA,NA,NA,NA,5/22/19 20:11,boisepubliclibrary.org
Boulder Public Library,No Fines,https://www.dailycamera.com/2018/12/21/boulder-library-to-end-late-fees-in-march/,NA,NA,NA,NA,NA,NA,CO,2019-03-01,NA,NA,NA,NA,5/22/19 15:55,boulderlibrary.org
Boyce Ditto Public Library,No Fines,Not available in Mineral Wells Index Newspaper,NA,"At Boyce Ditto Library, this is what we are doing to increase our service use. We are exploring ways to make fines less cumbersome. The Library Advisory Board and staff believe that the more difficult the library is to use, the more folks just won�t use it. https://www.mineralwellsindex.com/news/library-manager-s-message-why-we-are-here-because-we/article_91d08dd4-15fe-11e9-ad2f-4fce6266e790.html",NA,NA,Boyce Ditto is currently fine free,https://www.mineralwellstx.gov/DocumentCenter/View/5387/Boyce-Ditto-Public-Library-Information-and-Tips,TX,NA,NA,NA,NA,NA,7/21/19 23:36,http://catalog.mypcla.com/polaris/
Boylston Public Library,No Fines,,NA,NA,NA,NA,NA,NA,MA,NA,NA,NA,NA,NA,5/24/19 10:04,boylstonlibrary.org
Branch District Library,Everyone,https://www.branchdistrictlibrary.org/pdf/annual_reports/2018_annual_report.pdf,FALSE,"At BDL we believe in removing barriers to library service wherever possible, and removing financial barriers will help many more people take advantage of library services.",41.940214,-85.000223,NA,NA,MI,2017-01-01,guess based on date of article in source field,NA,NA,NA,NA,https://www.branchdistrictlibrary.org/
Brandon Free Public Library ,No Fines,No,NA,NA,NA,NA,BFPL is Fine Free! We have done away with DVD fines! Parks/Museum Passes excluded,https://bfpl.insigniails.com/Library/CustomPage,VT,NA,NA,NA,NA,NA,1/25/19 12:59,https://bfpl.insigniails.com/Library/Home
Brooksville Free Public Library,No Fines,No; we've been fine free since we were formed in 1952.,NA,NA,NA,NA,NA,NA,ME,NA,NA,NA,NA,NA,5/22/19 18:34,brooksvillelibrary.org
Burlingame Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.plsinfo.org/Fines-Fees,NA,NA,NA,NA,"Items checked out on children�s and teens' Library cards do not accrue daily overdue fines.
Items checked out on children�s and teens' Library cards do not accrue daily overdue fines.
Items checked out on children�s and teens' Library cards do not accrue daily overdue fines.
Items checked out on children's and teens' Library cards do not accrue daily overdue fines.",NA,CA,2016-07-01,NA,NA,NA,NA,7/8/19 14:18,https://www.burlingame.org/library/
Burlington Public Library (Wisconsin),"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.burlingtonlibrary.org/no-overdue-fines-for-kids-and-teens-materials/,NA,"We are committed to increasing reading and literacies, and combating the �summer slump� that causes students to lose skills between grades.  We have a comprehensive Summer Reading Program to encourage use of the library and reward children for reading. Overdue fines stop kids and their parents from using the library.  Forty-nine percent of registered library users have fine balances, and twenty-four percent have fines so high that they are blocked from using their library cards.  Youth users whose cards are blocked stop using the library.",NA,NA,NA,https://www.burlingtonlibrary.org/no-overdue-fines-for-kids-and-teens-materials/,WI,2018-06-07,NA,NA,NA,NA,1/24/19 10:22,https://www.burlingtonlibrary.org
Burton Public Library,No Fines,https://www.burtonlibrary.org/content/fine-free,NA,NA,NA,NA,NA,https://www.burtonlibrary.org/content/circulation-policy,OH,2019-01-01,NA,NA,NA,NA,7/19/19 16:34,https://www.burtonlibrary.org/
Caldwell Public Library,No Fines,,NA,NA,NA,NA,NA,https://docs.wixstatic.com/ugd/f0e5c0_328aae8361ab4728b403459feaa8d2a9.pdf,ID,NA,NA,NA,NA,NA,5/22/19 20:13,caldwellpubliclibrary.org
Calvert Libary,No Fines,https://calvertlibrary.info/calvert-library-bolt-votes-in-fine-free-permanently-press-release/,NA,NA,NA,NA,NA,https://calvertlibrary.info/about-us/library-info/policies/,MD,2019-08-20,NA,NA,NA,NA,8/24/19 11:20,CalvertLibrary.Info
Cambridge Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",,NA,NA,NA,NA,"Adult materials returned or renewed after their due date incur a daily fine of ten cents. Commonwealth Catalog and Interlibrary Loan items are $2 per day.
Adult materials returned or renewed after their due date incur a daily fine of ten cents. Commonwealth Catalog and Interlibrary Loan items are $2 per day.",https://www.cambridgema.gov/cpl/Services/borrowingpolicies,MA,NA,NA,NA,NA,NA,1/25/19 13:24,https://www.cambridgema.gov/cpl
